platforms,prop_7+,prop_13+,prop_16+,prop_18+,prop_all
Disney,0.39473684210526316,0.10526315789473684,0.0029239766081871343,0.0029239766081871343,0.49415204678362573
Hulu,0.11993517017828201,0.1620745542949757,0.004862236628849271,0.39384116693679094,0.3192868719611021
Netflix,0.1204906204906205,0.1717171717171717,0.030303030303030304,0.3795093795093795,0.29797979797979796
Prime_Video,0.09326599326599326,0.12390572390572391,0.01717171717171717,0.3498316498316498,0.4158249158249158
