Netflix,Hulu,Prime_Video,Disney,avg_IMDb,avg_Rotten
0,0,0,1,64.83850931677019,63.462732919254655
0,0,1,0,63.22147651006711,64.72222222222223
0,0,1,1,70,82.71428571428571
0,1,0,0,64.11136890951276,70.06728538283063
0,1,0,1,73.5,89.25
0,1,1,0,62.71686746987952,58.596385542168676
0,1,1,1,52,35
1,0,0,0,64.61464968152866,66.47929936305732
1,0,0,1,65.28571428571429,68.42857142857143
1,0,1,0,62.825688073394495,58.43119266055046
1,1,0,0,64.6,63.6
1,1,1,0,68.5,69.25
